date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:04	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2028%20Aug%202019%2000:05:40%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/ionicons.eot?v=2.0.0	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/ionicons28b5.eot	(from https://templatemanja.com/tashan/demo/assets/css/ionicons.min.css)
22:29:05	188508/188508	---M--	200	added ('OK')	font/ttf	date:Wed,%2028%20Aug%202019%2000:05:36%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/ionicons.ttf?v=2.0.0	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/ionicons28b5.ttf	(from https://templatemanja.com/tashan/demo/assets/css/ionicons.min.css)
22:29:06	67904/67904	---M--	200	added ('OK')	font/woff	date:Wed,%2028%20Aug%202019%2000:05:34%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/ionicons.woff?v=2.0.0	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/ionicons28b5.woff	(from https://templatemanja.com/tashan/demo/assets/css/ionicons.min.css)
22:29:09	336064/336064	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Aug%202019%2000:05:38%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/ionicons.svg?v=2.0.0	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/ionicons28b5.svg	(from https://templatemanja.com/tashan/demo/assets/css/ionicons.min.css)
22:29:09	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2028%20Aug%202019%2000:05:38%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/themify.eot?-fvbane	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/themify9f24.eot	(from https://templatemanja.com/tashan/demo/assets/css/themify-icons.css)
22:29:10	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2028%20Aug%202019%2000:05:38%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/themify.eot?	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/themifyd41d.eot	(from https://templatemanja.com/tashan/demo/assets/css/themify-icons.css)
22:29:12	56108/56108	---M--	200	added ('OK')	font/woff	date:Wed,%2028%20Aug%202019%2000:05:30%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/themify.woff?-fvbane	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/themify9f24.woff	(from https://templatemanja.com/tashan/demo/assets/css/themify-icons.css)
22:29:13	78584/78584	---M--	200	added ('OK')	font/ttf	date:Wed,%2028%20Aug%202019%2000:05:32%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/themify.ttf?-fvbane	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/themify9f24.ttf	(from https://templatemanja.com/tashan/demo/assets/css/themify-icons.css)
22:29:15	234630/234630	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Aug%202019%2000:05:32%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/themify.svg?-fvbane	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/themify9f24.svg	(from https://templatemanja.com/tashan/demo/assets/css/themify-icons.css)
22:29:17	404624/404624	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2007%20Sep%202017%2020:57:36%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/Linearicons.eot?4t1dgh	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/Lineariconsb312.eot	(from https://templatemanja.com/tashan/demo/assets/css/linearicons.css)
